epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,3.13626,1.15664,2.36614,1.24113,1,0.29874,0.97332,0.69815,0.88223,1.9982,0.9882,0.00028,0.00028,0.00028
2,4.7789,1.00188,0.98093,1.13872,0.88282,0.87901,0.95638,0.70058,0.90654,1.06546,0.98795,0.000574258,0.000574258,0.000574258
3,6.55992,1.00405,0.89118,1.15667,0.72949,0.76667,0.80197,0.52556,1.2606,1.3331,1.24915,0.000862576,0.000862576,0.000862576
4,8.24821,1.04245,0.83472,1.13059,0.82288,0.66667,0.79672,0.53812,1.04001,1.48854,1.13949,0.00114495,0.00114495,0.00114495
5,9.87195,1.05639,0.83589,1.15628,0.92205,0.78868,0.91183,0.64884,0.97601,1.07447,1.07038,0.00142139,0.00142139,0.00142139
6,11.3099,1.00779,0.78962,1.12614,0.94716,0.89627,0.94979,0.66268,1.10181,0.98031,1.19044,0.00169189,0.00169189,0.00169189
7,13.0588,1.03033,0.78538,1.13984,0.95769,0.93333,0.96994,0.67538,1.09136,0.89271,1.22864,0.0018812,0.0018812,0.0018812
8,14.6079,1.03317,0.81676,1.16837,0.95887,0.96667,0.98539,0.68461,1.06815,0.81055,1.13637,0.0018614,0.0018614,0.0018614
9,16.2881,0.9949,0.79737,1.14929,0.85504,0.88482,0.95441,0.59791,1.17381,1.26216,1.22337,0.0018416,0.0018416,0.0018416
10,18.0874,1.02199,0.79008,1.14747,0.79766,0.91667,0.9146,0.6007,1.10741,1.39685,1.19564,0.0018218,0.0018218,0.0018218
11,20.1399,0.98276,0.72066,1.11577,0.90097,0.90981,0.94041,0.65798,1.04271,0.88815,1.15792,0.001802,0.001802,0.001802
12,22.2073,0.98311,0.74307,1.11773,0.98323,0.97697,0.98391,0.69688,1.08628,0.90012,1.16788,0.0017822,0.0017822,0.0017822
13,23.8855,0.96289,0.69669,1.1234,0.9671,0.97976,0.98969,0.71713,0.9711,0.90378,1.11523,0.0017624,0.0017624,0.0017624
14,25.5525,0.96604,0.68149,1.12444,0.9426,0.96667,0.9823,0.73968,0.93254,1.02466,1.07322,0.0017426,0.0017426,0.0017426
15,27.3536,0.94489,0.6693,1.14421,0.9361,0.9767,0.98351,0.69541,0.94953,0.93009,1.06397,0.0017228,0.0017228,0.0017228
16,29.1261,0.94149,0.63994,1.11554,0.97344,0.98333,0.99119,0.75415,0.88846,0.71846,1.04196,0.001703,0.001703,0.001703
17,30.8563,0.96749,0.65246,1.1036,0.9614,0.96667,0.98205,0.7352,0.96633,0.7933,1.11152,0.0016832,0.0016832,0.0016832
18,32.6599,0.95132,0.64496,1.12367,0.98168,0.98333,0.98247,0.72411,0.95766,0.6153,1.10263,0.0016634,0.0016634,0.0016634
19,34.584,0.90483,0.62097,1.099,0.99859,1,0.995,0.74869,0.89309,0.54226,1.03939,0.0016436,0.0016436,0.0016436
20,36.4,0.92328,0.60373,1.10947,0.99821,1,0.995,0.76921,0.83747,0.56188,1.02746,0.0016238,0.0016238,0.0016238
21,38.5436,0.91691,0.60901,1.09368,0.98005,1,0.99369,0.75798,0.86041,0.59643,1.02509,0.001604,0.001604,0.001604
22,40.2946,0.88594,0.59867,1.0971,0.97851,0.98333,0.98379,0.76695,0.86287,0.54469,1.04382,0.0015842,0.0015842,0.0015842
23,42.0406,0.88918,0.57207,1.10976,0.98848,1,0.995,0.75322,0.902,0.53182,1.06011,0.0015644,0.0015644,0.0015644
24,43.701,0.90289,0.57693,1.11492,0.99734,0.98333,0.99279,0.77042,0.85747,0.52511,1.04171,0.0015446,0.0015446,0.0015446
25,45.7021,0.85558,0.5572,1.0768,0.99716,1,0.995,0.76078,0.86651,0.52142,1.06416,0.0015248,0.0015248,0.0015248
26,47.6211,0.8857,0.55513,1.12304,0.99912,1,0.995,0.78041,0.82113,0.43089,1.01639,0.001505,0.001505,0.001505
27,49.4804,0.8729,0.55501,1.09124,0.98294,0.96012,0.98267,0.75845,0.93589,0.52308,1.07863,0.0014852,0.0014852,0.0014852
28,51.8232,0.88937,0.56035,1.10971,1,0.9968,0.995,0.78277,0.85103,0.49767,1.03159,0.0014654,0.0014654,0.0014654
29,54.0057,0.85938,0.53148,1.06701,0.99422,0.98333,0.99437,0.78732,0.82505,0.54328,1.02609,0.0014456,0.0014456,0.0014456
30,56.0061,0.87626,0.54146,1.06884,0.99631,0.98333,0.99468,0.79285,0.80546,0.53582,1.00197,0.0014258,0.0014258,0.0014258
31,58.4524,0.87017,0.53829,1.06802,1,0.99626,0.995,0.78523,0.82621,0.4648,1.01052,0.001406,0.001406,0.001406
32,60.7132,0.86469,0.53545,1.08094,0.99901,1,0.995,0.78522,0.85019,0.45063,1.01564,0.0013862,0.0013862,0.0013862
33,62.6115,0.87547,0.53753,1.08093,0.99705,1,0.995,0.76154,0.84445,0.45496,1.03353,0.0013664,0.0013664,0.0013664
34,64.4997,0.86622,0.5134,1.09279,0.99873,1,0.995,0.77484,0.83153,0.44019,1.0167,0.0013466,0.0013466,0.0013466
35,66.6024,0.79089,0.50089,1.05899,0.98369,1,0.995,0.79062,0.80546,0.45423,1.0043,0.0013268,0.0013268,0.0013268
36,68.4785,0.84234,0.51755,1.08406,0.98069,0.98333,0.9835,0.76018,0.83936,0.46425,1.01848,0.001307,0.001307,0.001307
37,70.2768,0.84003,0.52932,1.08286,0.99795,1,0.995,0.79621,0.77118,0.44968,0.98823,0.0012872,0.0012872,0.0012872
38,72.216,0.85817,0.5249,1.08206,0.98029,0.96667,0.98058,0.77595,0.82635,0.44869,1.01856,0.0012674,0.0012674,0.0012674
