epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,10.3337,1.77695,3.74339,0.00765,0.01818,0.17631,0.00319,0.00214,1.80751,3.85054,0.00777,0.000529206,0.000529206,0.000529206
2,18.161,1.72705,2.79175,0.00662,0.02988,0.52617,0.04561,0.02404,1.78381,3.46141,0.007,0.0010795,0.0010795,0.0010795
3,25.9865,1.76678,2.10702,0.00679,0.54459,0.27548,0.31633,0.2132,1.88006,2.40848,0.00748,0.0016243,0.0016243,0.0016243
4,33.7667,1.7907,2.04626,0.00629,0.48064,0.4022,0.38978,0.2465,1.84036,1.8816,0.00709,0.00164225,0.00164225,0.00164225
5,41.2462,1.78029,1.59467,0.00615,0.47796,0.52617,0.44606,0.25009,1.87488,1.58999,0.00716,0.00163399,0.00163399,0.00163399
6,49.0079,1.79665,1.52395,0.00617,0.41444,0.56749,0.40056,0.18024,1.8867,1.54386,0.00702,0.00162574,0.00162574,0.00162574
7,56.5957,1.85501,1.50289,0.0059,0.38963,0.55923,0.34016,0.15823,1.88496,1.60345,0.00682,0.00161749,0.00161749,0.00161749
8,63.9838,1.78395,1.38395,0.00627,0.67265,0.56749,0.61346,0.34409,1.8234,1.37937,0.0069,0.00160924,0.00160924,0.00160924
9,71.6988,1.76543,1.35208,0.00589,0.7521,0.52342,0.63808,0.36443,1.78722,1.4544,0.00672,0.00160099,0.00160099,0.00160099
10,79.452,1.73139,1.29609,0.00621,0.67774,0.55647,0.63934,0.36529,1.78807,1.34012,0.00661,0.00159274,0.00159274,0.00159274
11,86.925,1.77227,1.222,0.00597,0.68206,0.59504,0.68368,0.36349,1.76349,1.20383,0.00655,0.00158448,0.00158448,0.00158448
12,94.6314,1.70317,1.19843,0.00585,0.62496,0.67769,0.69223,0.35374,1.80501,1.17194,0.00682,0.00157623,0.00157623,0.00157623
13,102.253,1.8142,1.15973,0.0056,0.73721,0.61983,0.71106,0.38663,1.75573,1.15892,0.00645,0.00156798,0.00156798,0.00156798
14,109.985,1.74947,1.10914,0.00574,0.70301,0.67769,0.74547,0.41005,1.74602,1.12017,0.00633,0.00155973,0.00155973,0.00155973
15,117.73,1.7631,1.14539,0.00557,0.75419,0.63361,0.73399,0.4168,1.77616,1.07607,0.00656,0.00155148,0.00155148,0.00155148
16,124.948,1.71218,1.08825,0.00553,0.69629,0.68044,0.74221,0.40939,1.75231,1.05177,0.00642,0.00154323,0.00154323,0.00154323
17,132.668,1.78988,1.0887,0.00539,0.69869,0.67769,0.72015,0.40408,1.80749,1.02061,0.00667,0.00153497,0.00153497,0.00153497
18,140.172,1.62072,1.04034,0.00565,0.71984,0.66116,0.71813,0.41452,1.81183,0.99216,0.00669,0.00152672,0.00152672,0.00152672
19,147.781,1.68691,1.03258,0.00549,0.78152,0.6701,0.76572,0.42751,1.7806,0.95957,0.00647,0.00151847,0.00151847,0.00151847
20,155.453,1.69037,1.01761,0.00539,0.77049,0.69421,0.76148,0.42204,1.7877,0.98296,0.00658,0.00151022,0.00151022,0.00151022
21,162.737,1.6976,0.96673,0.00553,0.75081,0.67233,0.75912,0.43593,1.78135,0.93196,0.0065,0.00150197,0.00150197,0.00150197
22,170.494,1.63733,0.96798,0.00531,0.7967,0.6832,0.7703,0.42797,1.75612,0.91309,0.00639,0.00149372,0.00149372,0.00149372
23,177.895,1.6261,0.97669,0.00538,0.76718,0.71625,0.78733,0.44617,1.72629,0.88422,0.00624,0.00148546,0.00148546,0.00148546
24,185.548,1.71113,0.99529,0.0053,0.83685,0.65,0.78169,0.45698,1.7227,0.88927,0.00612,0.00147721,0.00147721,0.00147721
25,193.3,1.62526,0.92956,0.0052,0.80093,0.6832,0.80139,0.4475,1.71623,0.89587,0.00623,0.00146896,0.00146896,0.00146896
26,200.789,1.62365,0.8801,0.00523,0.82449,0.67293,0.79468,0.44759,1.71873,0.89694,0.00625,0.00146071,0.00146071,0.00146071
27,209.141,1.61583,0.87417,0.00535,0.83403,0.69146,0.80494,0.46068,1.70938,0.87873,0.00612,0.00145246,0.00145246,0.00145246
28,217.899,1.59528,0.88803,0.00542,0.85641,0.67366,0.79149,0.46037,1.72834,0.83717,0.00632,0.00144421,0.00144421,0.00144421
29,226.041,1.65512,0.8997,0.00521,0.82818,0.72727,0.8144,0.45583,1.75296,0.84759,0.00652,0.00143595,0.00143595,0.00143595
30,234.727,1.59559,0.87307,0.00514,0.84717,0.70243,0.81684,0.46206,1.715,0.8155,0.00617,0.0014277,0.0014277,0.0014277
31,243.682,1.70527,0.86471,0.00507,0.82896,0.70799,0.80396,0.45086,1.74571,0.82245,0.0064,0.00141945,0.00141945,0.00141945
32,251.751,1.59078,0.86437,0.00517,0.80811,0.72452,0.80669,0.4657,1.73579,0.82181,0.0062,0.0014112,0.0014112,0.0014112
33,260.669,1.56228,0.84218,0.00488,0.80869,0.70523,0.79815,0.46649,1.71727,0.82377,0.00624,0.00140295,0.00140295,0.00140295
34,269.689,1.70169,0.85627,0.00478,0.86484,0.72273,0.83008,0.46962,1.6962,0.85658,0.00605,0.0013947,0.0013947,0.0013947
35,278.19,1.61197,0.86735,0.00505,0.86448,0.73554,0.84118,0.47473,1.70851,0.84899,0.00614,0.00138644,0.00138644,0.00138644
36,286.653,1.59199,0.79646,0.00526,0.86757,0.73278,0.84583,0.47381,1.72821,0.77938,0.00624,0.00137819,0.00137819,0.00137819
37,295.149,1.60458,0.81823,0.00488,0.87371,0.71625,0.83235,0.46937,1.70669,0.78504,0.00627,0.00136994,0.00136994,0.00136994
38,303.462,1.49649,0.78473,0.00503,0.81493,0.73829,0.82292,0.47865,1.68711,0.80119,0.00604,0.00136169,0.00136169,0.00136169
39,312.354,1.62244,0.83369,0.00499,0.84672,0.71074,0.82159,0.47778,1.70275,0.7899,0.0062,0.00135344,0.00135344,0.00135344
40,321.157,1.59273,0.80296,0.0048,0.84916,0.69697,0.80834,0.43535,1.73251,0.80521,0.00642,0.00134519,0.00134519,0.00134519
41,330.054,1.65069,0.82279,0.00499,0.89972,0.74148,0.84641,0.47395,1.6933,0.73862,0.00601,0.00133693,0.00133693,0.00133693
42,338.579,1.58036,0.7711,0.0049,0.89761,0.73278,0.82767,0.46745,1.75444,0.74514,0.00645,0.00132868,0.00132868,0.00132868
43,347.635,1.63691,0.78364,0.00491,0.9013,0.73278,0.84229,0.47342,1.70554,0.74374,0.00608,0.00132043,0.00132043,0.00132043
44,356.653,1.58745,0.78688,0.00489,0.8709,0.73554,0.83607,0.47832,1.69077,0.76681,0.00599,0.00131218,0.00131218,0.00131218
45,365.295,1.56413,0.77381,0.00489,0.84809,0.75207,0.83541,0.47492,1.70865,0.75902,0.00612,0.00130393,0.00130393,0.00130393
46,374.212,1.52177,0.7503,0.00492,0.87077,0.74249,0.84142,0.47703,1.69898,0.74345,0.00606,0.00129568,0.00129568,0.00129568
47,383.161,1.57354,0.74717,0.00494,0.87367,0.75207,0.85031,0.46245,1.71141,0.74891,0.0062,0.00128742,0.00128742,0.00128742
48,391.512,1.56131,0.74798,0.00523,0.84474,0.7989,0.86851,0.48059,1.6837,0.75885,0.00588,0.00127917,0.00127917,0.00127917
49,400.221,1.66749,0.76894,0.0051,0.83081,0.75754,0.83553,0.4773,1.724,0.76627,0.00615,0.00127092,0.00127092,0.00127092
50,408.936,1.60148,0.71985,0.00495,0.8505,0.76793,0.8465,0.4779,1.7016,0.75967,0.00598,0.00126267,0.00126267,0.00126267
51,417.448,1.58705,0.73311,0.00474,0.84205,0.77836,0.84619,0.4766,1.6941,0.75963,0.00605,0.00125442,0.00125442,0.00125442
52,426.292,1.5828,0.76499,0.00502,0.84628,0.75831,0.84004,0.48048,1.69057,0.75501,0.00597,0.00124617,0.00124617,0.00124617
53,435.138,1.54598,0.74294,0.0048,0.85751,0.72943,0.82274,0.47152,1.71867,0.78879,0.00611,0.00123791,0.00123791,0.00123791
54,443.908,1.61559,0.74159,0.00482,0.9174,0.72727,0.86371,0.47362,1.72864,0.7715,0.00629,0.00122966,0.00122966,0.00122966
55,452.78,1.61651,0.72905,0.00521,0.83487,0.77686,0.85906,0.46698,1.74472,0.74959,0.00629,0.00122141,0.00122141,0.00122141
56,461.562,1.60933,0.72568,0.00498,0.89742,0.75482,0.84812,0.48329,1.67846,0.74423,0.00596,0.00121316,0.00121316,0.00121316
57,470.585,1.55601,0.7133,0.00515,0.87622,0.76052,0.85622,0.48749,1.704,0.71565,0.00615,0.00120491,0.00120491,0.00120491
58,479.154,1.5804,0.70225,0.00473,0.89219,0.77516,0.86201,0.48385,1.72512,0.69309,0.00609,0.00119666,0.00119666,0.00119666
59,487.995,1.61121,0.70402,0.00474,0.85853,0.78572,0.85138,0.48339,1.70441,0.68751,0.00604,0.0011884,0.0011884,0.0011884
60,497.184,1.4924,0.68645,0.00506,0.89946,0.78237,0.86186,0.49481,1.69759,0.6917,0.00602,0.00118015,0.00118015,0.00118015
61,505.814,1.5725,0.68049,0.00486,0.85749,0.78237,0.84621,0.48264,1.72179,0.69733,0.00623,0.0011719,0.0011719,0.0011719
62,514.873,1.5067,0.69054,0.00486,0.83647,0.78911,0.85642,0.49368,1.6762,0.70184,0.00596,0.00116365,0.00116365,0.00116365
63,523.996,1.59983,0.70783,0.00466,0.88256,0.7438,0.85515,0.49449,1.68874,0.70271,0.00607,0.0011554,0.0011554,0.0011554
64,532.513,1.53591,0.69531,0.00489,0.88111,0.77579,0.84778,0.4901,1.68932,0.70373,0.00599,0.00114715,0.00114715,0.00114715
65,541.22,1.60241,0.70432,0.00452,0.87899,0.76041,0.8464,0.47852,1.69389,0.67588,0.00619,0.00113889,0.00113889,0.00113889
66,550.319,1.51703,0.65521,0.00451,0.8718,0.76584,0.85157,0.48522,1.68857,0.65669,0.00606,0.00113064,0.00113064,0.00113064
67,559.38,1.53433,0.67018,0.00476,0.87344,0.7989,0.8646,0.50055,1.67677,0.66505,0.0059,0.00112239,0.00112239,0.00112239
68,567.842,1.49658,0.66114,0.00475,0.87094,0.7808,0.85723,0.49521,1.70775,0.67921,0.00612,0.00111414,0.00111414,0.00111414
69,576.867,1.58564,0.6675,0.00463,0.87311,0.77721,0.86414,0.496,1.66211,0.67912,0.0058,0.00110589,0.00110589,0.00110589
70,585.721,1.55523,0.68554,0.00486,0.90438,0.76584,0.85897,0.49384,1.68812,0.7108,0.00602,0.00109764,0.00109764,0.00109764
71,594.045,1.54798,0.65656,0.00448,0.87747,0.76309,0.86863,0.50733,1.65062,0.68335,0.00575,0.00108938,0.00108938,0.00108938
72,602.737,1.51191,0.67903,0.00455,0.89396,0.76644,0.86539,0.49795,1.69351,0.6868,0.00602,0.00108113,0.00108113,0.00108113
73,611.625,1.52656,0.66898,0.00478,0.90793,0.76584,0.86554,0.49456,1.68288,0.69496,0.00597,0.00107288,0.00107288,0.00107288
74,620.007,1.55421,0.67265,0.00473,0.88616,0.75052,0.85675,0.48919,1.69965,0.68426,0.0061,0.00106463,0.00106463,0.00106463
75,628.963,1.50785,0.62842,0.0048,0.88312,0.77015,0.86009,0.4996,1.65887,0.68372,0.00583,0.00105638,0.00105638,0.00105638
76,637.77,1.49435,0.62944,0.00465,0.85094,0.76033,0.83962,0.48505,1.67095,0.69022,0.00592,0.00104813,0.00104813,0.00104813
77,646.244,1.46298,0.64996,0.00492,0.85926,0.77686,0.84112,0.48804,1.67623,0.69789,0.00602,0.00103987,0.00103987,0.00103987
78,654.882,1.54346,0.65513,0.00463,0.87719,0.78706,0.86894,0.4967,1.66622,0.69434,0.00604,0.00103162,0.00103162,0.00103162
79,663.878,1.55173,0.63436,0.00452,0.88058,0.78788,0.87688,0.49236,1.67457,0.69497,0.00606,0.00102337,0.00102337,0.00102337
80,672.358,1.5001,0.6098,0.00466,0.88837,0.78921,0.86654,0.49151,1.68587,0.68286,0.00598,0.00101512,0.00101512,0.00101512
81,680.875,1.54704,0.67,0.00465,0.87292,0.78788,0.86049,0.49707,1.68846,0.70839,0.00598,0.00100687,0.00100687,0.00100687
82,689.766,1.55004,0.65018,0.00445,0.85712,0.79063,0.85532,0.4998,1.66236,0.70743,0.00589,0.000998616,0.000998616,0.000998616
83,698.686,1.57086,0.64291,0.00485,0.85678,0.79104,0.86635,0.50614,1.6391,0.69397,0.00576,0.000990365,0.000990365,0.000990365
84,707.162,1.50303,0.62303,0.00444,0.85932,0.80772,0.86204,0.50699,1.64501,0.66118,0.00582,0.000982113,0.000982113,0.000982113
85,715.787,1.56522,0.63081,0.00478,0.88714,0.77953,0.86993,0.50686,1.65809,0.64661,0.00591,0.000973861,0.000973861,0.000973861
86,724.6,1.5393,0.62887,0.00456,0.90111,0.77814,0.86293,0.4902,1.69461,0.68753,0.00605,0.00096561,0.00096561,0.00096561
87,732.691,1.56221,0.65147,0.00463,0.90356,0.7989,0.87463,0.49541,1.66563,0.69298,0.00588,0.000957358,0.000957358,0.000957358
88,741.568,1.55072,0.64669,0.00458,0.89679,0.81388,0.87832,0.50388,1.65514,0.67682,0.00593,0.000949106,0.000949106,0.000949106
89,750.778,1.48117,0.62212,0.00463,0.85165,0.80658,0.86759,0.49906,1.688,0.69028,0.0061,0.000940855,0.000940855,0.000940855
90,759.041,1.49084,0.60533,0.00453,0.88192,0.78183,0.87042,0.50019,1.66766,0.67579,0.00602,0.000932603,0.000932603,0.000932603
91,767.982,1.50267,0.61217,0.00444,0.88745,0.79614,0.86513,0.49232,1.68948,0.64841,0.00603,0.000924352,0.000924352,0.000924352
92,776.891,1.52096,0.6067,0.0045,0.87323,0.81267,0.86819,0.49975,1.68298,0.64038,0.00591,0.0009161,0.0009161,0.0009161
93,785.071,1.51443,0.61296,0.00447,0.8884,0.81137,0.8708,0.49594,1.70437,0.66499,0.00614,0.000907848,0.000907848,0.000907848
94,794.088,1.43716,0.5787,0.00452,0.88968,0.79063,0.85944,0.49612,1.68909,0.67938,0.00594,0.000899597,0.000899597,0.000899597
95,802.637,1.49132,0.60254,0.00451,0.89017,0.80441,0.86889,0.49788,1.69901,0.67358,0.00614,0.000891345,0.000891345,0.000891345
96,811.25,1.47117,0.61715,0.00445,0.89596,0.79063,0.87282,0.50257,1.67427,0.6752,0.00581,0.000883093,0.000883093,0.000883093
97,819.971,1.46818,0.60449,0.00452,0.89467,0.77686,0.85224,0.50331,1.6851,0.69816,0.00592,0.000874842,0.000874842,0.000874842
98,828.826,1.46777,0.60335,0.0049,0.88463,0.76584,0.84972,0.49472,1.70439,0.71038,0.00604,0.00086659,0.00086659,0.00086659
99,837.582,1.4762,0.57818,0.00465,0.86149,0.81267,0.86788,0.50318,1.67518,0.69718,0.00588,0.000858338,0.000858338,0.000858338
100,845.776,1.47834,0.58947,0.00435,0.85458,0.80716,0.86912,0.49972,1.68097,0.6997,0.00588,0.000850087,0.000850087,0.000850087
101,854.572,1.54432,0.61145,0.00433,0.87857,0.79727,0.86374,0.501,1.67032,0.68456,0.00582,0.000841835,0.000841835,0.000841835
102,863.309,1.50742,0.60704,0.00434,0.88388,0.7989,0.86505,0.49948,1.69004,0.67752,0.006,0.000833583,0.000833583,0.000833583
103,871.627,1.46757,0.60089,0.00451,0.88253,0.7989,0.86472,0.50236,1.69771,0.66712,0.00602,0.000825332,0.000825332,0.000825332
104,880.671,1.49782,0.59371,0.00482,0.91077,0.78736,0.86831,0.49652,1.70064,0.67631,0.00604,0.00081708,0.00081708,0.00081708
105,889.649,1.4888,0.59269,0.00431,0.90043,0.80165,0.87749,0.50231,1.67602,0.70091,0.00589,0.000808828,0.000808828,0.000808828
106,897.999,1.50296,0.59754,0.00443,0.89215,0.79763,0.875,0.49948,1.68172,0.69977,0.00595,0.000800577,0.000800577,0.000800577
107,907,1.45484,0.59859,0.00455,0.8773,0.80761,0.87104,0.50433,1.68225,0.69822,0.00591,0.000792325,0.000792325,0.000792325
108,915.665,1.43266,0.57173,0.00451,0.88973,0.80165,0.85864,0.49753,1.6856,0.7007,0.00592,0.000784073,0.000784073,0.000784073
109,923.929,1.50111,0.58778,0.0044,0.89492,0.80165,0.86703,0.49356,1.71445,0.70622,0.00622,0.000775822,0.000775822,0.000775822
110,932.67,1.43291,0.57284,0.00442,0.89573,0.79614,0.86854,0.50468,1.67785,0.70215,0.00595,0.00076757,0.00076757,0.00076757
111,941.51,1.47767,0.57328,0.00451,0.88419,0.7741,0.85307,0.49952,1.66728,0.70503,0.0059,0.000759318,0.000759318,0.000759318
112,949.898,1.45508,0.56491,0.00461,0.84596,0.81694,0.85338,0.49638,1.68866,0.72224,0.00605,0.000751067,0.000751067,0.000751067
113,958.848,1.52324,0.608,0.00438,0.8624,0.82877,0.87159,0.49922,1.6818,0.7134,0.00587,0.000742815,0.000742815,0.000742815
114,967.821,1.43757,0.55768,0.00433,0.86589,0.8004,0.85501,0.49614,1.67472,0.71107,0.00588,0.000734564,0.000734564,0.000734564
115,976.24,1.5006,0.58872,0.00454,0.85663,0.80656,0.85135,0.49559,1.68275,0.69844,0.00593,0.000726312,0.000726312,0.000726312
116,984.662,1.4432,0.56505,0.0044,0.87521,0.81543,0.86403,0.50386,1.67259,0.6987,0.00591,0.00071806,0.00071806,0.00071806
117,993.545,1.48786,0.58512,0.00458,0.89887,0.80801,0.86554,0.50375,1.66437,0.69027,0.00597,0.000709809,0.000709809,0.000709809
118,1002.16,1.50021,0.58028,0.00437,0.88841,0.80165,0.8635,0.5052,1.66068,0.69561,0.00586,0.000701557,0.000701557,0.000701557
119,1010.58,1.44388,0.54634,0.00439,0.90902,0.78788,0.86419,0.50997,1.66432,0.69324,0.00585,0.000693305,0.000693305,0.000693305
