epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,16.6587,1.06069,2.16503,1.19039,1,0.51581,0.97966,0.67204,1.0284,1.87187,1.05195,0.00028,0.00028,0.00028
2,33.0407,0.91541,0.90819,1.09616,0.88071,0.68333,0.81708,0.57722,1.01658,1.15969,1.13378,0.000574258,0.000574258,0.000574258
3,51.5063,0.97302,0.86225,1.13748,0.85097,0.93333,0.93135,0.62931,1.05897,1.03677,1.20343,0.000862576,0.000862576,0.000862576
4,74.9641,0.97507,0.84197,1.12512,0.81823,0.85,0.9107,0.64589,1.00371,1.21,1.11206,0.00114495,0.00114495,0.00114495
5,94.6152,1.01669,0.82649,1.15596,0.92818,0.91667,0.95994,0.67736,1.03365,1.21339,1.07946,0.00142139,0.00142139,0.00142139
6,114.318,1.01089,0.81451,1.11017,0.76094,0.98333,0.86208,0.57993,1.08132,1.13594,1.12244,0.00169189,0.00169189,0.00169189
7,136.035,0.99944,0.7952,1.1316,0.93297,0.95,0.97918,0.67803,1.00594,1.0256,1.15151,0.0018812,0.0018812,0.0018812
8,156.637,0.9786,0.77847,1.12498,0.93568,0.96989,0.99077,0.70863,1.06951,0.86303,1.15448,0.0018614,0.0018614,0.0018614
9,174.104,0.95964,0.74093,1.10555,1,0.99604,0.995,0.72766,1.01712,0.79476,1.08864,0.0018416,0.0018416,0.0018416
10,189.829,0.95709,0.72465,1.10589,0.92843,0.96667,0.98332,0.70024,1.05272,0.83983,1.16713,0.0018218,0.0018218,0.0018218
11,205.809,0.95811,0.6986,1.10915,0.86795,1,0.96294,0.70955,0.97614,0.75931,1.15377,0.001802,0.001802,0.001802
12,221.631,0.92009,0.67432,1.09769,0.96711,0.98032,0.98948,0.71832,1.007,0.75121,1.13907,0.0017822,0.0017822,0.0017822
13,237.988,0.91862,0.66279,1.08999,0.98358,0.99858,0.99402,0.73127,0.99029,0.69701,1.10366,0.0017624,0.0017624,0.0017624
